College_Name,Year,AICTE_Approval_Score,UGC_Rating,NIRF_Rank,Placement_Percentage,Faculty_Student_Ratio,Research_Projects,Infrastructure_Score,Student_Satisfaction_Score,Final_Performance_Index
Indian Institute of Technology,2019,92.15,8.85,12,89.23,9.8,35,94.52,88.76,88.42
Indian Institute of Technology,2020,89.65,8.65,15,86.23,9.5,32,91.52,85.76,85.92
Indian Institute of Technology,2021,90.15,8.75,13,87.73,9.6,34,92.02,86.26,86.67
Indian Institute of Technology,2022,92.65,9.05,11,90.23,9.4,36,94.02,89.26,89.17
Indian Institute of Technology,2023,93.15,9.15,10,91.73,9.2,38,95.52,90.76,90.42
National Institute of Technology,2019,87.43,8.12,28,82.45,11.2,28,89.34,82.15,83.56
National Institute of Technology,2020,84.93,7.92,32,79.45,11.0,25,86.34,79.15,80.81
National Institute of Technology,2021,85.43,8.02,30,80.95,11.1,27,86.84,79.65,81.56
National Institute of Technology,2022,87.93,8.32,26,83.45,10.8,29,88.84,82.65,84.31
National Institute of Technology,2023,88.43,8.42,24,84.95,10.6,31,90.34,84.15,85.06
Birla Institute of Technology,2019,81.67,7.34,45,75.89,12.5,22,84.21,77.43,78.92
Birla Institute of Technology,2020,79.17,7.14,49,72.89,12.3,19,81.21,74.43,76.17
Birla Institute of Technology,2021,79.67,7.24,47,74.39,12.4,21,81.71,74.93,76.92
Birla Institute of Technology,2022,82.17,7.54,43,76.89,12.1,23,83.71,77.93,79.67
Birla Institute of Technology,2023,82.67,7.64,41,78.39,11.9,25,85.21,79.43,80.42
Vellore Institute of Technology,2019,88.91,8.45,22,85.67,10.3,31,91.56,85.28,85.73
Vellore Institute of Technology,2020,86.41,8.25,26,82.67,10.1,28,88.56,82.28,83.23
Vellore Institute of Technology,2021,86.91,8.35,24,84.17,10.2,30,89.06,82.78,83.98
Vellore Institute of Technology,2022,89.41,8.65,20,86.67,9.9,32,90.56,85.28,86.48
Vellore Institute of Technology,2023,89.91,8.75,18,88.17,9.7,34,92.06,86.78,87.23
Manipal Institute of Technology,2019,79.23,7.21,52,73.45,13.1,19,82.67,75.89,77.34
Manipal Institute of Technology,2020,76.73,7.01,56,70.45,12.9,16,79.67,72.89,74.59
Manipal Institute of Technology,2021,77.23,7.11,54,71.95,13.0,18,80.17,73.39,75.34
Manipal Institute of Technology,2022,79.73,7.41,50,74.45,12.7,20,81.67,75.89,77.09
Manipal Institute of Technology,2023,80.23,7.51,48,75.95,12.5,22,83.17,77.39,77.84
SRM Institute of Science and Technology,2019,76.89,6.89,67,71.23,14.2,16,79.45,73.67,75.12
SRM Institute of Science and Technology,2020,74.39,6.69,71,68.23,14.0,13,76.45,70.67,72.37
SRM Institute of Science and Technology,2021,74.89,6.79,69,69.73,14.1,15,76.95,71.17,73.12
SRM Institute of Science and Technology,2022,77.39,7.09,65,72.23,13.8,17,78.45,73.67,75.87
SRM Institute of Science and Technology,2023,77.89,7.19,63,73.73,13.6,19,79.95,75.17,76.62
Amrita Vishwa Vidyapeetham,2019,83.45,7.67,38,78.91,11.8,25,86.23,80.45,80.89
Amrita Vishwa Vidyapeetham,2020,80.95,7.47,42,75.91,11.6,22,83.23,77.45,78.14
Amrita Vishwa Vidyapeetham,2021,81.45,7.57,40,77.41,11.7,24,83.73,77.95,78.89
Amrita Vishwa Vidyapeetham,2022,83.95,7.87,36,79.91,11.4,26,85.23,80.45,81.64
Amrita Vishwa Vidyapeetham,2023,84.45,7.97,34,81.41,11.2,28,86.73,81.95,82.39
KIIT University,2019,74.12,6.43,78,68.67,15.3,14,76.89,71.23,73.45
KIIT University,2020,71.62,6.23,82,65.67,15.1,11,73.89,68.23,70.70
KIIT University,2021,72.12,6.33,80,67.17,15.2,13,74.39,68.73,71.45
KIIT University,2022,74.62,6.63,76,69.67,14.9,15,75.89,71.23,73.20
KIIT University,2023,75.12,6.73,74,71.17,14.7,17,77.39,72.73,73.95
Lovely Professional University,2019,71.78,6.12,89,65.34,16.1,12,74.56,68.89,71.23
Lovely Professional University,2020,69.28,5.92,93,62.34,15.9,9,71.56,65.89,68.48
Lovely Professional University,2021,69.78,6.02,91,63.84,16.0,11,72.06,66.39,69.23
Lovely Professional University,2022,72.28,6.32,87,66.34,15.7,13,73.56,68.89,70.98
Lovely Professional University,2023,72.78,6.42,85,67.84,15.5,15,75.06,70.39,71.73
Kalinga Institute of Industrial Technology,2019,75.34,6.78,63,70.12,14.6,17,78.23,72.45,74.67
Kalinga Institute of Industrial Technology,2020,72.84,6.58,67,67.12,14.4,14,75.23,69.45,71.92
Kalinga Institute of Industrial Technology,2021,73.34,6.68,65,68.62,14.5,16,75.73,69.95,72.67
Kalinga Institute of Industrial Technology,2022,75.84,6.98,61,71.12,14.2,18,77.23,72.45,74.42
Kalinga Institute of Industrial Technology,2023,76.34,7.08,59,72.62,14.0,20,78.73,73.95,75.17
PSG College of Technology,2019,78.67,7.23,56,73.89,13.4,20,81.45,75.67,76.89
PSG College of Technology,2020,76.17,7.03,60,70.89,13.2,17,78.45,72.67,74.14
PSG College of Technology,2021,76.67,7.13,58,72.39,13.3,19,78.95,73.17,74.89
PSG College of Technology,2022,79.17,7.43,54,74.89,13.0,21,80.45,75.67,76.64
PSG College of Technology,2023,79.67,7.53,52,76.39,12.8,23,81.95,77.17,77.39
Thiagarajar College of Engineering,2019,77.23,7.01,59,72.45,13.7,18,80.12,74.23,75.45
Thiagarajar College of Engineering,2020,74.73,6.81,63,69.45,13.5,15,77.12,71.23,72.70
Thiagarajar College of Engineering,2021,75.23,6.91,61,70.95,13.6,17,77.62,71.73,73.45
Thiagarajar College of Engineering,2022,77.73,7.21,57,73.45,13.3,19,79.12,74.23,75.20
Thiagarajar College of Engineering,2023,78.23,7.31,55,74.95,13.1,21,80.62,75.73,75.95
Anna University,2019,80.89,7.45,47,76.23,12.9,23,83.67,77.89,78.67
Anna University,2020,78.39,7.25,51,73.23,12.7,20,80.67,74.89,76.17
Anna University,2021,78.89,7.35,49,74.73,12.8,22,81.17,75.39,76.92
Anna University,2022,81.39,7.65,45,77.23,12.5,24,82.67,77.89,78.42
Anna University,2023,81.89,7.75,43,78.73,12.3,26,84.17,79.39,79.17
Jadavpur University,2019,84.56,7.89,35,80.67,11.5,27,87.34,81.23,82.45
Jadavpur University,2020,82.06,7.69,39,77.67,11.3,24,84.34,78.23,79.70
Jadavpur University,2021,82.56,7.79,37,79.17,11.4,26,84.84,78.73,80.45
Jadavpur University,2022,85.06,8.09,33,81.67,11.1,28,86.34,81.23,82.20
Jadavpur University,2023,85.56,8.19,31,83.17,10.9,30,87.84,82.73,82.95
Delhi Technological University,2019,82.34,7.56,41,78.45,12.1,24,85.23,79.67,80.23
Delhi Technological University,2020,79.84,7.36,45,75.45,11.9,21,82.23,76.67,77.48
Delhi Technological University,2021,80.34,7.46,43,76.95,12.0,23,82.73,77.17,78.23
Delhi Technological University,2022,82.84,7.76,39,79.45,11.7,25,84.23,79.67,79.98
